CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12,CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href,CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-27,TagStyle__TagContent-sc-66xi2f-0,TagStyle__TagContentWrapper-sc-r1wv7a-1,TagStyle__TagContentWrapper-sc-r1wv7a-1 2,TagStyle__TagContentWrapper-sc-r1wv7a-1 3,TagStyle__TagContentWrapper-sc-r1wv7a-1 4,TagStyle__TagContentWrapper-sc-r1wv7a-1 5,ThumborImagesc__CustomImage-sc-1uzwahj-0 src,stylessc__ShieldBadge-sc-1cbkdr9-1 src,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3,CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26,CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32
Data Science Trainee,https://glints.com/id/opportunities/jobs/data-science-trainee/d0a8bb01-ab1e-4ce2-996a-2552f90dbbe6?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Hybrid,Penuh Waktu,Kurang dari setahun,Minimal Sarjana (S1),7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1e22f4eff736ec32db6f66163a8094b2.png,https://glints.com/images/icons/vip-badge.svg,PT. Algoritma Data Indonesia,https://glints.com/id/companies/pt-algoritma-data-indonesia/c1ef097e-df88-4dd4-b53d-b61997e6c81e,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,8 hari yang lalu,Rp 6 jt-7 jt
Data Analist & Digital Media Officer,https://glints.com/id/opportunities/jobs/data-analist-and-digital-media-officer/1506b32f-470d-4caa-905b-54f56dd2acab?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),SQL,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0a1efbf0028b73ec849e5e574c706e03.jpg,https://glints.com/images/icons/vip-badge.svg,PT Digital Nayaka Abhinaya,https://glints.com/id/companies/pt-digital-nayaka-abhinaya/4e5ecfdb-ef03-4aaf-8cc6-fa2c6dab3e0b,Bekasi Selatan,https://glints.com/id/job-location/indonesia/jawa-barat/bekasi/bekasi-selatan,Bekasi,https://glints.com/id/job-location/indonesia/jawa-barat/bekasi,Jawa Barat,https://glints.com/id/job-location/indonesia/jawa-barat,15 hari yang lalu,Rp 5 jt-7 jt
System Analyst,https://glints.com/id/opportunities/jobs/system-analyst/3714a412-5e9f-4fef-9783-109609ab15b5?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Agile Methodologies,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0f00cfad074ddbdb75c7ad84b7e6bc82.jpg,,PT Shell Infotek Indonesia (Shell Infotech),https://glints.com/id/companies/pt-shell-infotek-indonesia-shell-infotech/eab727ab-1578-4caf-b326-612c5e3098dc,Menteng,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/menteng,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,8 hari yang lalu,Rp 10 jt-12 jt
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/68239af8-55f4-4681-be1b-af0b5c4a58fd?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Data Engineering,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/c2761ec073416d19e2216506971384fc.png,https://glints.com/images/icons/vip-badge.svg,Murni Development Indonesia,https://glints.com/id/companies/murni-development-indonesia/dc0d144b-ec72-4790-9265-8b1c41d4f6f7,Tanah Abang,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,8 hari yang lalu,
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/934cd6e1-b214-473b-9631-97cf63fcec83?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),Data Migration,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e5c137efb8d2c3585477711162e1530b.png,https://glints.com/images/icons/vip-badge.svg,PT Avows Technologies,https://glints.com/id/companies/pt-avows-technologies/1987829a-4218-47f6-a70f-26e6fcbf3f9b,Cikarang Pusat,https://glints.com/id/job-location/indonesia/jawa-barat/kab-bekasi/cikarang-pusat,Kab. Bekasi,https://glints.com/id/job-location/indonesia/jawa-barat/kab-bekasi,Jawa Barat,https://glints.com/id/job-location/indonesia/jawa-barat,8 hari yang lalu,
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/c9d4b3dd-ceb2-46a9-980c-0eec76e05c32?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Hadoop,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ab048bbb649ff3fee8905d3c528242c9.jpeg,https://glints.com/images/icons/vip-badge.svg,PT Esha Parama Teknologi,https://glints.com/id/companies/pt-esha-parama-teknologi/9e346292-0e55-4b74-94c8-0fe571a37232,Mampang Prapatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,14 hari yang lalu,
System Analyst,https://glints.com/id/opportunities/jobs/system-analyst/6e4e4cb3-2247-499a-a84a-d490a1bd1997?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Oracle Database,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ef674468446e36198da02a498fad33da.png,https://glints.com/images/icons/vip-badge.svg,PT. Mandiri International Technology,https://glints.com/id/companies/pt-mandiri-international-technology/4cc92fae-eb04-42eb-a2e0-be7770866e04,Pancoran,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,9 hari yang lalu,
system analyst,https://glints.com/id/opportunities/jobs/system-analyst/feb7c378-3f3e-448c-92d2-bec6f93ef4df?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Business Process Improvement,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/01df2bf5b26d5a39c0a165a74ac787db.jpg,,vitech asia,https://glints.com/id/companies/vitech-asia/356adf27-179a-42cd-8612-37ea04523ade,Cipayung,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/cipayung,Jakarta Timur,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,24 hari yang lalu,"Rp 4 jt-4,9 jt"
Analyst,https://glints.com/id/opportunities/jobs/analyst/33703c97-92ec-4036-92dd-83c99842dbb9?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Mcse Mcsd,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/93a8fe0893b0df2412c73b97eead86a2.jpeg,,IDE Asia,,Mampang Prapatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,6 hari yang lalu,Rp 5 jt-15 jt
System Analyst,https://glints.com/id/opportunities/jobs/system-analyst/446f728c-50a6-41f9-9777-37a9056d0ad5?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),System Analysis,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/481e9e36d8442f57c20530771f515186.png,https://glints.com/images/icons/vip-badge.svg,HiWork,https://glints.com/id/companies/hiwork/c7b9e0eb-d6eb-4b0b-a477-2e4a9c05a515,Cakung,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/cakung,Jakarta Timur,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,Rp 5 jt-7 jt
System Analyst,https://glints.com/id/opportunities/jobs/system-analyst/25ea0806-10cb-4689-8fb2-3d0f5fcbc13f?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),SDLC,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f3e82a110b9a2fa0166fee280b3d6d19.png,https://glints.com/images/icons/vip-badge.svg,PT Prima Vista Solusi,https://glints.com/id/companies/pt-prima-vista-solusi/d75bdb3f-a5df-4d79-9b15-3bcb224b5103,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,8 hari yang lalu,
Security Analyst,https://glints.com/id/opportunities/jobs/security-analyst/83422fd3-5a5b-44a3-800f-24ea7dec9f89?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Information Security,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,24 hari yang lalu,
Data Scientist,https://glints.com/id/opportunities/jobs/data-scientist/0c69ff60-e8a9-48ed-86af-8553138ad216?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Hybrid,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e72bbeb37968f714996a29d47fa49719.png,,JALA,https://glints.com/id/companies/jala/11d779e8-b0c3-4772-8bda-2d3c79472300,Kapanewon Depok,https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-depok,Kab. Sleman,https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman,DI Yogyakarta,https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja,1 bulan yang lalu,Rp 7 jt-10 jt
Data Analyst (Muara Enim Area),https://glints.com/id/opportunities/jobs/data-analyst-muara-enim-area/ab41dd23-a888-40a1-8529-ce727f0bd25f?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Data Analytics,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/83639718eb95835a827e0f567e985dba.jpg,,PT Cybertrend Intrabuana,https://glints.com/id/companies/pt-cybertrend-intrabuana/262eca1e-9a45-4ab8-b032-a8ccf6522f8c,Lawang Kidul,https://glints.com/id/job-location/indonesia/sumatera-selatan/kab-muara-enim/lawang-kidul,Kab. Muara Enim,https://glints.com/id/job-location/indonesia/sumatera-selatan/kab-muara-enim,Sumatera Selatan,https://glints.com/id/job-location/indonesia/sumatera-selatan,21 hari yang lalu,Rp 5 jt-7 jt
Data Visualization,https://glints.com/id/opportunities/jobs/data-visualization/3af2e99e-4c3c-427b-948a-9d9bc223dcda?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Tableau,6,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/38038f81ca6c4d4d64e90422b84b4d64.png,,Indivara Teknologi Quantum,https://glints.com/id/companies/indivara-teknologi-quantum/4a75ab03-8184-467e-af94-864462e09a23,Taman Sari,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/taman-sari,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,5 hari yang lalu,Rp 8 jt-11 jt
Business System Analyst,https://glints.com/id/opportunities/jobs/business-system-analyst/97831a8a-754a-47f3-af1a-0bffc4bb743c?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Microsoft Office,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d2fdb71b40bfce11120b716f283582e9.png,https://glints.com/images/icons/vip-badge.svg,PT Evolusi Teknologi Indonesia (Evoteks),https://glints.com/id/companies/pt-evolusi-teknologi-indonesia-evoteks/a971d3eb-7bf5-4c53-bbcb-3beef36cb7fb,Gambir,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/gambir,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,27 hari yang lalu,Rp 7 jt-10 jt
Finance Analyst,https://glints.com/id/opportunities/jobs/finance-analyst/12b1f7cf-8c0b-4bcb-a471-0149d77a925a?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Managerial Finance,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/dfe982bc44dc73e21b6f4b2039fd4462.jpg,https://glints.com/images/icons/vip-badge.svg,Geekhunter,https://glints.com/id/companies/geekhunter/dcf36376-9d00-4f43-a7e9-744bf83334a1,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,2 jam yang lalu,Rp 7 jt-12 jt
